# Athena++ data at time=1.800000e+00  cycle=1734  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0236  1.45937e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0237  1.46562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0238  1.47188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0239  1.47813e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0240  1.48438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0241  1.49062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0242  1.49687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0243  1.50313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0244  1.50938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0245  1.51562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0246  1.52188e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0247  1.52813e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0248  1.53438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0249  1.54062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0250  1.54688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0251  1.55313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0252  1.55938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0253  1.56562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0254  1.57187e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0255  1.57812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0256  1.58438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0257  1.59062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0258  1.59687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0259  1.60312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0260  1.60938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0261  1.61562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0262  1.62187e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0263  1.62813e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0264  1.63438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0265  1.64062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0266  1.64687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0267  1.65312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0268  1.65938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0269  1.66563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
